action_id,source_row,capability_id,module,capability,original_action,original_explanation,original_output,original_acceptance,historical_design_status,historical_dependency,historical_owner,historical_date,historical_execution_status,historical_evidence,requirements,tasks,current_scope,disposition,current_acceptance
M3.1-A01,66,M3.1,工作与管理入口,个人执行入口,展示今日、即将到期、逾期、待更新、待确认、本人异常和Action,完成“展示今日、即将到期、逾期、待更新、待确认、本人异常和Action”，使“个人执行入口”能够按统一规则执行、检查并留下可验证结果。,My Daily Work入口,一个入口找到并完成核心工作，可返回项目背景，减少重复维护,TARGET,TBD,TBD,TBD,进行中,,REQ-008 ; REQ-010,AT-02 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M3.1-A02,67,M3.1,工作与管理入口,个人执行入口,支持更新、提交结果并进入项目背景,完成“支持更新、提交结果并进入项目背景”，使“个人执行入口”能够按统一规则执行、检查并留下可验证结果。,My Daily Work入口,一个入口找到并完成核心工作，可返回项目背景，减少重复维护,TARGET,TBD,TBD,TBD,进行中,,REQ-008 ; REQ-010,AT-02 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M3.2-A01,68,M3.2,工作与管理入口,项目管理入口,展示项目、SKU、阶段、健康、Milestone、Task、异常、Action、待决策和缺失项,完成“展示项目、SKU、阶段、健康、Milestone、Task、异常、Action、待决策和缺失项”，使“项目管理入口”能够按统一规则执行、检查并留下可验证结果。,Project Workspace及可信项目视图,偏差、影响、Owner和下一步清楚，无需另做解释报告,TARGET,TBD,TBD,TBD,未开始,,REQ-005,AT-08 ; MS-04,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。 原文Decision/Review在P0以Issue待决责任、周报及现有行动记录承载；新的独立管理平台仍在P1，不扩展本动作范围。,Not Submitted
M3.2-A02,69,M3.2,工作与管理入口,项目管理入口,支持更新、审查和下钻,完成“支持更新、审查和下钻”，使“项目管理入口”能够按统一规则执行、检查并留下可验证结果。,Project Workspace及可信项目视图,偏差、影响、Owner和下一步清楚，无需另做解释报告,TARGET,TBD,TBD,TBD,未开始,,REQ-005,AT-08 ; MS-04,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M3.3-A01,70,M3.3,工作与管理入口,异常处理入口,展示开放、缺失Owner/Action/Due、逾期和待关闭异常,完成“展示开放、缺失Owner/Action/Due、逾期和待关闭异常”，使“异常处理入口”能够按统一规则执行、检查并留下可验证结果。,统一异常处理入口,异常集中可见，可直接分配、行动、升级和关闭,TARGET,TBD,TBD,TBD,未开始,,REQ-012 ; REQ-013 ; REQ-015,AT-05 ; AT-08 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M3.3-A02,71,M3.3,工作与管理入口,异常处理入口,支持分配、行动、更新、升级、决策和关闭,完成“支持分配、行动、更新、升级、决策和关闭”，使“异常处理入口”能够按统一规则执行、检查并留下可验证结果。,统一异常处理入口,异常集中可见，可直接分配、行动、升级和关闭,TARGET,TBD,TBD,TBD,未开始,,REQ-012 ; REQ-013 ; REQ-015,AT-05 ; AT-08 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。 原文Decision/Review在P0以Issue待决责任、周报及现有行动记录承载；新的独立管理平台仍在P1，不扩展本动作范围。,Not Submitted
M3.4-A01,72,M3.4,工作与管理入口,周度管理入口,展示健康、变化、偏差、Top Risk、逾期、缺失、待决策和上周结果,完成“展示健康、变化、偏差、Top Risk、逾期、缺失、待决策和上周结果”，使“周度管理入口”能够按统一规则执行、检查并留下可验证结果。,周度管理视图及决定行动记录,周会直接使用AutoPM，决定回写，下周期验证结果,TARGET,TBD,TBD,TBD,进行中,,REQ-019 ; REQ-020,AT-13 ; MS-12,P1,独立Decision／高级Review按用户范围放P1；现有周报和Issue中的待决责任仍保留，不能静默删去原Action。,Not Submitted
M3.4-A02,73,M3.4,工作与管理入口,周度管理入口,支持确认、决定和行动回写,完成“支持确认、决定和行动回写”，使“周度管理入口”能够按统一规则执行、检查并留下可验证结果。,周度管理视图及决定行动记录,周会直接使用AutoPM，决定回写，下周期验证结果,TARGET,TBD,TBD,TBD,未开始,,REQ-019 ; REQ-020,AT-13 ; MS-12,P1,独立Decision／高级Review按用户范围放P1；现有周报和Issue中的待决责任仍保留，不能静默删去原Action。,Not Submitted
M3.5-A01,74,M3.5,工作与管理入口,领导审查与下钻,展示组合健康、关键风险延误、受影响Milestone和待决策项,完成“展示组合健康、关键风险延误、受影响Milestone和待决策项”，使“领导审查与下钻”能够按统一规则执行、检查并留下可验证结果。,Leadership View及下钻路径,汇总结论可下钻，管理决定和后续行动可追踪,TARGET,TBD,TBD,TBD,未开始,,REQ-007,AT-08 ; MS-04,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。 原文Decision/Review在P0以Issue待决责任、周报及现有行动记录承载；新的独立管理平台仍在P1，不扩展本动作范围。,Not Submitted
M3.5-A02,75,M3.5,工作与管理入口,领导审查与下钻,逐层下钻至Project、SKU、异常、Action、Owner和Result,完成“逐层下钻至Project、SKU、异常、Action、Owner和Result”，使“领导审查与下钻”能够按统一规则执行、检查并留下可验证结果。,Leadership View及下钻路径,汇总结论可下钻，管理决定和后续行动可追踪,TARGET,TBD,TBD,TBD,未开始,,REQ-007,AT-08 ; MS-04,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M3.6-A01,76,M3.6,工作与管理入口,用户体验与动作效率,删除无用字段,完成“删除无用字段”，使“用户体验与动作效率”能够按统一规则执行、检查并留下可验证结果。,用户问题清单及界面修复任务,核心动作易完成，信息一次维护，反馈转为可验收任务,TARGET,TBD,TBD,TBD,未开始,,REQ-004 ; REQ-005,AT-00 ; AT-08 ; MS-04 ; GOV-01,P0,原删除意图改为消费者核对与先隐藏；删除需后续具体影响、恢复方案及范围授权，不直接执行旧文删除指令。,Not Submitted
M3.6-A02,77,M3.6,工作与管理入口,用户体验与动作效率,减少重复录入和页面切换,完成“减少重复录入和页面切换”，使“用户体验与动作效率”能够按统一规则执行、检查并留下可验证结果。,用户问题清单及界面修复任务,核心动作易完成，信息一次维护，反馈转为可验收任务,TARGET,TBD,TBD,TBD,进行中,,REQ-005 ; REQ-028,AT-00 ; AT-08 ; MS-04,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M3.6-A03,78,M3.6,工作与管理入口,用户体验与动作效率,突出下一步,完成“突出下一步”，使“用户体验与动作效率”能够按统一规则执行、检查并留下可验证结果。,用户问题清单及界面修复任务,核心动作易完成，信息一次维护，反馈转为可验收任务,TARGET,TBD,TBD,TBD,未开始,,REQ-005 ; REQ-028,AT-00 ; AT-08 ; MS-04,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M3.6-A04,79,M3.6,工作与管理入口,用户体验与动作效率,简化更新,完成“简化更新”，使“用户体验与动作效率”能够按统一规则执行、检查并留下可验证结果。,用户问题清单及界面修复任务,核心动作易完成，信息一次维护，反馈转为可验收任务,TARGET,TBD,TBD,TBD,未开始,,REQ-005 ; REQ-028,AT-00 ; AT-08 ; MS-04,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M3.6-A05,80,M3.6,工作与管理入口,用户体验与动作效率,提供说明,完成“提供说明”，使“用户体验与动作效率”能够按统一规则执行、检查并留下可验证结果。,用户问题清单及界面修复任务,核心动作易完成，信息一次维护，反馈转为可验收任务,TARGET,TBD,TBD,TBD,未开始,,REQ-005 ; REQ-028,AT-00 ; AT-08 ; MS-04,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M3.6-A06,81,M3.6,工作与管理入口,用户体验与动作效率,收集并排序用户问题,完成“收集并排序用户问题”，使“用户体验与动作效率”能够按统一规则执行、检查并留下可验证结果。,用户问题清单及界面修复任务,核心动作易完成，信息一次维护，反馈转为可验收任务,TARGET,TBD,TBD,TBD,未开始,,REQ-027 ; REQ-028,AT-10 ; MS-10 ; GOV-03,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.1-A01,82,M4.1,自动化、集成与运行保障,数据导入与初始化自动化,建立导入模板,完成“建立导入模板”，使“数据导入与初始化自动化”能够按统一规则执行、检查并留下可验证结果。,稳定导入流程及错误报告,不重复，错误可定位，不静默覆盖真实数据,TARGET,TBD,TBD,TBD,进行中,,REQ-003 ; REQ-004,AT-06 ; AT-07 ; MS-01 ; MS-08,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.1-A02,83,M4.1,自动化、集成与运行保障,数据导入与初始化自动化,校验格式,完成“校验格式”，使“数据导入与初始化自动化”能够按统一规则执行、检查并留下可验证结果。,稳定导入流程及错误报告,不重复，错误可定位，不静默覆盖真实数据,TARGET,TBD,TBD,TBD,进行中,,REQ-003 ; REQ-004,AT-06 ; AT-07 ; MS-01 ; MS-08,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.1-A03,84,M4.1,自动化、集成与运行保障,数据导入与初始化自动化,匹配ID和Owner,完成“匹配ID和Owner”，使“数据导入与初始化自动化”能够按统一规则执行、检查并留下可验证结果。,稳定导入流程及错误报告,不重复，错误可定位，不静默覆盖真实数据,TARGET,TBD,TBD,TBD,进行中,,REQ-003 ; REQ-004,AT-06 ; AT-07 ; MS-01 ; MS-08,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.1-A04,85,M4.1,自动化、集成与运行保障,数据导入与初始化自动化,防重复和静默覆盖,完成“防重复和静默覆盖”，使“数据导入与初始化自动化”能够按统一规则执行、检查并留下可验证结果。,稳定导入流程及错误报告,不重复，错误可定位，不静默覆盖真实数据,TARGET,TBD,TBD,TBD,进行中,,REQ-003 ; REQ-004,AT-06 ; AT-07 ; MS-01 ; MS-08,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.1-A05,86,M4.1,自动化、集成与运行保障,数据导入与初始化自动化,显示错误,完成“显示错误”，使“数据导入与初始化自动化”能够按统一规则执行、检查并留下可验证结果。,稳定导入流程及错误报告,不重复，错误可定位，不静默覆盖真实数据,TARGET,TBD,TBD,TBD,进行中,,REQ-003 ; REQ-004,AT-06 ; AT-07 ; MS-01 ; MS-08,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.1-A06,87,M4.1,自动化、集成与运行保障,数据导入与初始化自动化,支持修正和回退,完成“支持修正和回退”，使“数据导入与初始化自动化”能够按统一规则执行、检查并留下可验证结果。,稳定导入流程及错误报告,不重复，错误可定位，不静默覆盖真实数据,TARGET,TBD,TBD,TBD,未开始,,REQ-003 ; REQ-004,AT-06 ; AT-07 ; MS-01 ; MS-08,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.2-A01,88,M4.2,自动化、集成与运行保障,状态与异常计算,计算到期、逾期、Next Milestone和偏差,完成“计算到期、逾期、Next Milestone和偏差”，使“状态与异常计算”能够按统一规则执行、检查并留下可验证结果。,计算规则及可解释结果,规则与业务定义一致，异常边界通过测试，不无依据覆盖,TARGET,TBD,TBD,TBD,进行中,,REQ-006 ; REQ-009 ; REQ-010 ; REQ-023,AT-01 ; AT-02 ; AT-04 ; MS-03 ; MS-04 ; MS-05 ; MS-07,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.2-A02,89,M4.2,自动化、集成与运行保障,状态与异常计算,识别缺失与冲突,完成“识别缺失与冲突”，使“状态与异常计算”能够按统一规则执行、检查并留下可验证结果。,计算规则及可解释结果,规则与业务定义一致，异常边界通过测试，不无依据覆盖,TARGET,TBD,TBD,TBD,未开始,,REQ-004 ; REQ-006 ; REQ-023,AT-01 ; AT-03 ; AT-06 ; MS-03 ; MS-08,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.2-A03,90,M4.2,自动化、集成与运行保障,状态与异常计算,展示依据并支持授权确认,完成“展示依据并支持授权确认”，使“状态与异常计算”能够按统一规则执行、检查并留下可验证结果。,计算规则及可解释结果,规则与业务定义一致，异常边界通过测试，不无依据覆盖,TARGET,TBD,TBD,TBD,未开始,,REQ-005 ; REQ-006 ; REQ-023,AT-01 ; AT-08 ; MS-03 ; MS-04,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.3-A01,91,M4.3,自动化、集成与运行保障,提醒与升级,建立到期、逾期、缺失和关键Delay提醒,完成“建立到期、逾期、缺失和关键Delay提醒”，使“提醒与升级”能够按统一规则执行、检查并留下可验证结果。,分级提醒和升级机制,对象正确，已完成停止，重复受控，关键事项升级,TARGET,TBD,TBD,TBD,进行中,,REQ-010 ; REQ-021,AT-09 ; MS-09,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.3-A02,92,M4.3,自动化、集成与运行保障,提醒与升级,建立去重、停止、升级及响应记录,完成“建立去重、停止、升级及响应记录”，使“提醒与升级”能够按统一规则执行、检查并留下可验证结果。,分级提醒和升级机制,对象正确，已完成停止，重复受控，关键事项升级,TARGET,TBD,TBD,TBD,未开始,,REQ-010 ; REQ-021,AT-09 ; MS-09,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.4-A01,93,M4.4,自动化、集成与运行保障,报告生成,汇总状态、变化、风险、延误、行动和决定,完成“汇总状态、变化、风险、延误、行动和决定”，使“报告生成”能够按统一规则执行、检查并留下可验证结果。,可确认、可追溯的周报草稿,报告来自统一数据，缺失透明，可下钻，发布前人工确认,TARGET,TBD,TBD,TBD,进行中,,REQ-019,AT-09 ; MS-09,P0,本动作的结构化周报、来源、确认与导出为P0；并不要求新增AI生成，AI增强另由AT-14/MS-12承接。,Not Submitted
M4.4-A02,94,M4.4,自动化、集成与运行保障,报告生成,生成周报,完成“生成周报”，使“报告生成”能够按统一规则执行、检查并留下可验证结果。,可确认、可追溯的周报草稿,报告来自统一数据，缺失透明，可下钻，发布前人工确认,TARGET,TBD,TBD,TBD,已完成,,REQ-019,AT-09 ; MS-09,P0,本动作的结构化周报、来源、确认与导出为P0；并不要求新增AI生成，AI增强另由AT-14/MS-12承接。,Not Submitted
M4.4-A03,95,M4.4,自动化、集成与运行保障,报告生成,标记缺失待确认,完成“标记缺失待确认”，使“报告生成”能够按统一规则执行、检查并留下可验证结果。,可确认、可追溯的周报草稿,报告来自统一数据，缺失透明，可下钻，发布前人工确认,TARGET,TBD,TBD,TBD,未开始,,REQ-019,AT-09 ; MS-09,P0,本动作的结构化周报、来源、确认与导出为P0；并不要求新增AI生成，AI增强另由AT-14/MS-12承接。,Not Submitted
M4.4-A04,96,M4.4,自动化、集成与运行保障,报告生成,保留来源、下钻、确认和导出,完成“保留来源、下钻、确认和导出”，使“报告生成”能够按统一规则执行、检查并留下可验证结果。,可确认、可追溯的周报草稿,报告来自统一数据，缺失透明，可下钻，发布前人工确认,TARGET,TBD,TBD,TBD,未开始,,REQ-019,AT-09 ; MS-09,P0,本动作的结构化周报、来源、确认与导出为P0；并不要求新增AI生成，AI增强另由AT-14/MS-12承接。,Not Submitted
M4.5-A01,97,M4.5,自动化、集成与运行保障,PMO主数据连接,确认必要数据范围,完成“确认必要数据范围”，使“PMO主数据连接”能够按统一规则执行、检查并留下可验证结果。,PMO读取验证及映射对账结果,必要主数据稳定匹配，冲突和失败不静默处理,TARGET,TBD,TBD,TBD,进行中,,REQ-002 ; REQ-003 ; REQ-007,AT-03 ; AT-06 ; MS-02 ; MS-08 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.5-A02,98,M4.5,自动化、集成与运行保障,PMO主数据连接,建立Programme、Project、SKU和目标日期映射,完成“建立Programme、Project、SKU和目标日期映射”，使“PMO主数据连接”能够按统一规则执行、检查并留下可验证结果。,PMO读取验证及映射对账结果,必要主数据稳定匹配，冲突和失败不静默处理,TARGET,TBD,TBD,TBD,未开始,,REQ-002 ; REQ-003 ; REQ-007,AT-03 ; AT-06 ; MS-02 ; MS-08 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.5-A03,99,M4.5,自动化、集成与运行保障,PMO主数据连接,验证读取,完成“验证读取”，使“PMO主数据连接”能够按统一规则执行、检查并留下可验证结果。,PMO读取验证及映射对账结果,必要主数据稳定匹配，冲突和失败不静默处理,TARGET,TBD,TBD,TBD,未开始,,REQ-002 ; REQ-003 ; REQ-007,AT-03 ; AT-06 ; MS-02 ; MS-08 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.5-A04,100,M4.5,自动化、集成与运行保障,PMO主数据连接,识别变化冲突,完成“识别变化冲突”，使“PMO主数据连接”能够按统一规则执行、检查并留下可验证结果。,PMO读取验证及映射对账结果,必要主数据稳定匹配，冲突和失败不静默处理,TARGET,TBD,TBD,TBD,未开始,,REQ-002 ; REQ-003 ; REQ-007,AT-03 ; AT-06 ; MS-02 ; MS-08 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.5-A05,101,M4.5,自动化、集成与运行保障,PMO主数据连接,记录同步并对账,完成“记录同步并对账”，使“PMO主数据连接”能够按统一规则执行、检查并留下可验证结果。,PMO读取验证及映射对账结果,必要主数据稳定匹配，冲突和失败不静默处理,TARGET,TBD,TBD,TBD,未开始,,REQ-002 ; REQ-003 ; REQ-007,AT-03 ; AT-06 ; MS-02 ; MS-08 ; GOV-01,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.6-A01,102,M4.6,自动化、集成与运行保障,权限与审计,定义角色、项目、查看、编辑、确认、审批、导出和敏感字段权限,完成“定义角色、项目、查看、编辑、确认、审批、导出和敏感字段权限”，使“权限与审计”能够按统一规则执行、检查并留下可验证结果。,Phase 1权限模型及审计记录,访问和关键操作受控，越权经过测试，操作可追溯,TARGET,TBD,TBD,TBD,未开始,,REQ-026,AT-11 ; MS-03 ; GOV-02,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.6-A02,103,M4.6,自动化、集成与运行保障,权限与审计,记录变更,完成“记录变更”，使“权限与审计”能够按统一规则执行、检查并留下可验证结果。,Phase 1权限模型及审计记录,访问和关键操作受控，越权经过测试，操作可追溯,TARGET,TBD,TBD,TBD,未开始,,REQ-026,AT-11 ; MS-03 ; GOV-02,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.6-A03,104,M4.6,自动化、集成与运行保障,权限与审计,测试越权,完成“测试越权”，使“权限与审计”能够按统一规则执行、检查并留下可验证结果。,Phase 1权限模型及审计记录,访问和关键操作受控，越权经过测试，操作可追溯,TARGET,TBD,TBD,TBD,未开始,,REQ-026,AT-11 ; MS-03 ; GOV-02,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.7-A01,105,M4.7,自动化、集成与运行保障,运行监控与失败恢复,记录自动化和同步结果,完成“记录自动化和同步结果”，使“运行监控与失败恢复”能够按统一规则执行、检查并留下可验证结果。,运行监控及失败处理机制,失败及时发现，重试安全，故障有责任和回退,TARGET,TBD,TBD,TBD,未开始,,REQ-027,AT-07 ; AT-09 ; MS-08 ; MS-09,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.7-A02,106,M4.7,自动化、集成与运行保障,运行监控与失败恢复,监控异常,完成“监控异常”，使“运行监控与失败恢复”能够按统一规则执行、检查并留下可验证结果。,运行监控及失败处理机制,失败及时发现，重试安全，故障有责任和回退,TARGET,TBD,TBD,TBD,未开始,,REQ-027,AT-10 ; MS-08 ; MS-10 ; GOV-02,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.7-A03,107,M4.7,自动化、集成与运行保障,运行监控与失败恢复,告警并分配Owner,完成“告警并分配Owner”，使“运行监控与失败恢复”能够按统一规则执行、检查并留下可验证结果。,运行监控及失败处理机制,失败及时发现，重试安全，故障有责任和回退,TARGET,TBD,TBD,TBD,未开始,,REQ-027,AT-07 ; AT-10 ; MS-08 ; MS-10 ; GOV-02,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.7-A04,108,M4.7,自动化、集成与运行保障,运行监控与失败恢复,支持幂等重试,完成“支持幂等重试”，使“运行监控与失败恢复”能够按统一规则执行、检查并留下可验证结果。,运行监控及失败处理机制,失败及时发现，重试安全，故障有责任和回退,TARGET,TBD,TBD,TBD,进行中,,REQ-004 ; REQ-027,AT-06 ; AT-07 ; MS-03 ; MS-08,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.7-A05,109,M4.7,自动化、集成与运行保障,运行监控与失败恢复,防数据污染,完成“防数据污染”，使“运行监控与失败恢复”能够按统一规则执行、检查并留下可验证结果。,运行监控及失败处理机制,失败及时发现，重试安全，故障有责任和回退,TARGET,TBD,TBD,TBD,未开始,,REQ-004 ; REQ-027,AT-06 ; MS-03 ; MS-08 ; GOV-02,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M4.7-A06,110,M4.7,自动化、集成与运行保障,运行监控与失败恢复,建立回退,完成“建立回退”，使“运行监控与失败恢复”能够按统一规则执行、检查并留下可验证结果。,运行监控及失败处理机制,失败及时发现，重试安全，故障有责任和回退,TARGET,TBD,TBD,TBD,未开始,,REQ-027 ; REQ-029,AT-11 ; MS-10 ; GOV-02,P0,原目标保留；按本版BR及目标对象实施，历史Done不继承为验收。,Not Submitted
M5.1-A01,111,M5.1,Pilot运行与采用,Pilot范围确认,确认试点目标、团队、负责人、项目清单、选择标准、参与角色、使用承诺及启动暂停退出条件,完成“确认试点目标、团队、负责人、项目清单、选择标准、参与角色、使用承诺及启动暂停退出条件”，使“Pilot范围确认”能够按统一规则执行、检查并留下可验证结果。,Pilot范围说明及团队项目清单,团队、项目、角色和目标确认，未确认数量周期保持TBD,TARGET,TBD,TBD,TBD,未开始,,REQ-028,GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.2-A01,112,M5.2,Pilot运行与采用,角色与责任,定义执行、项目、职能、管理、Data Owner和平台支持责任,完成“定义执行、项目、职能、管理、Data Owner和平台支持责任”，使“角色与责任”能够按统一规则执行、检查并留下可验证结果。,Pilot角色责任矩阵,每类数据和行动有责任，PM不代替所有人维护,TARGET,TBD,TBD,TBD,未开始,,REQ-026 ; REQ-028,GOV-02 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.3-A01,113,M5.3,Pilot运行与采用,使用规则,定义必须维护的信息、更新频率、异常Action升级关闭规则、人工确认和最低证据,完成“定义必须维护的信息、更新频率、异常Action升级关闭规则、人工确认和最低证据”，使“使用规则”能够按统一规则执行、检查并留下可验证结果。,Pilot使用规则,何时在哪里更新什么清楚，关键事实保留人工责任,TARGET,TBD,TBD,TBD,未开始,,REQ-008 ; REQ-010 ; REQ-011 ; REQ-015 ; REQ-028,GOV-01 ; GOV-02 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.4-A01,114,M5.4,Pilot运行与采用,双系统过渡,明确唯一维护位置、旧工具范围、读取写入链接同步方向、冲突失败、停止条件和回退方案,完成“明确唯一维护位置、旧工具范围、读取写入链接同步方向、冲突失败、停止条件和回退方案”，使“双系统过渡”能够按统一规则执行、检查并留下可验证结果。,双系统过渡方案,无规则重复维护被消除，切换和回退不丢数据,TARGET,TBD,TBD,TBD,进行中,,REQ-003 ; REQ-028 ; REQ-029,MS-10 ; GOV-01 ; GOV-03 ; GOV-04,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.5-A01,115,M5.5,Pilot运行与采用,角色上手,使用真实项目完成任务更新、状态异常维护、Action确认、管理审查和Decision,完成“使用真实项目完成任务更新、状态异常维护、Action确认、管理审查和Decision”，使“角色上手”能够按统一规则执行、检查并留下可验证结果。,角色上手记录及首轮问题清单,关键角色在真实项目完成核心动作，不以登录培训作为完成,TARGET,TBD,TBD,TBD,未开始,,REQ-026 ; REQ-028,AT-11 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。 原文Decision/Review在P0以Issue待决责任、周报及现有行动记录承载；新的独立管理平台仍在P1，不扩展本动作范围。,Not Submitted
M5.5-A02,116,M5.5,Pilot运行与采用,角色上手,记录问题和理解偏差,完成“记录问题和理解偏差”，使“角色上手”能够按统一规则执行、检查并留下可验证结果。,角色上手记录及首轮问题清单,关键角色在真实项目完成核心动作，不以登录培训作为完成,TARGET,TBD,TBD,TBD,未开始,,REQ-026 ; REQ-028,AT-11 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.6-A01,117,M5.6,Pilot运行与采用,周度运行节奏,按规则更新,完成“按规则更新”，使“周度运行节奏”能够按统一规则执行、检查并留下可验证结果。,可重复周度运行机制,真实项目持续更新，周会使用AutoPM，行动下周期验证,TARGET,TBD,TBD,TBD,已完成,,REQ-019 ; REQ-028,AT-11 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.6-A02,118,M5.6,Pilot运行与采用,周度运行节奏,检查数据,完成“检查数据”，使“周度运行节奏”能够按统一规则执行、检查并留下可验证结果。,可重复周度运行机制,真实项目持续更新，周会使用AutoPM，行动下周期验证,TARGET,TBD,TBD,TBD,未开始,,REQ-019 ; REQ-028,AT-11 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.6-A03,119,M5.6,Pilot运行与采用,周度运行节奏,生成异常和周报,完成“生成异常和周报”，使“周度运行节奏”能够按统一规则执行、检查并留下可验证结果。,可重复周度运行机制,真实项目持续更新，周会使用AutoPM，行动下周期验证,TARGET,TBD,TBD,TBD,进行中,,REQ-019 ; REQ-028,AT-11 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。,Not Submitted
M5.6-A04,120,M5.6,Pilot运行与采用,周度运行节奏,开展周度审查,完成“开展周度审查”，使“周度运行节奏”能够按统一规则执行、检查并留下可验证结果。,可重复周度运行机制,真实项目持续更新，周会使用AutoPM，行动下周期验证,TARGET,TBD,TBD,TBD,未开始,,REQ-019 ; REQ-028,AT-11 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。 原文Decision/Review在P0以Issue待决责任、周报及现有行动记录承载；新的独立管理平台仍在P1，不扩展本动作范围。,Not Submitted
M5.6-A05,121,M5.6,Pilot运行与采用,周度运行节奏,回写决定和Action,完成“回写决定和Action”，使“周度运行节奏”能够按统一规则执行、检查并留下可验证结果。,可重复周度运行机制,真实项目持续更新，周会使用AutoPM，行动下周期验证,TARGET,TBD,TBD,TBD,未开始,,REQ-019 ; REQ-028,AT-11 ; MS-10 ; GOV-03,P0,治理／试用／度量／Gate工作；不机械转成新增表或代码功能。 原文Decision/Review在P0以Issue待决责任、周报及现有行动记录承载；新的独立管理平台仍在P1，不扩展本动作范围。,Not Submitted
